user_id,datetime,lesson_id,day_completion_percentage,overall_completion_percentage
user_001,7/18/2022 19:04:53,lesson_0105,50.0,50.0
user_001,7/18/2022 19:53:55,lesson_0144,100.0,100.0
user_001,7/19/2022 22:10:05,lesson_0916,25.0,25.0
user_001,7/19/2022 22:11:14,lesson_0825,100.0,100.0
user_001,7/19/2022 22:11:46,lesson_1010,100.0,100.0
user_001,7/19/2022 23:08:05,lesson_0617,100.0,100.0
user_001,7/21/2022 8:15:11,lesson_0828,100.0,100.0
user_001,7/21/2022 10:53:44,lesson_0893,100.0,100.0
user_001,7/21/2022 18:19:29,lesson_0048,100.0,100.0
user_001,7/21/2022 20:01:33,lesson_0891,25.0,25.0
user_001,7/21/2022 20:28:14,lesson_0669,100.0,100.0
user_001,7/21/2022 20:28:39,lesson_0735,95.0,100.0
user_001,7/21/2022 20:29:34,lesson_0787,100.0,100.0
user_001,7/21/2022 20:30:36,lesson_0672,100.0,100.0
user_001,7/21/2022 20:32:35,lesson_0703,70.0,70.0
user_001,7/21/2022 20:34:22,lesson_0093,95.0,100.0
user_001,7/21/2022 21:31:21,lesson_0066,100.0,100.0
user_001,7/21/2022 21:38:09,lesson_0109,100.0,100.0
user_001,7/21/2022 21:38:30,lesson_0097,100.0,100.0
user_001,7/22/2022 19:04:30,lesson_0003,100.0,100.0
user_001,7/22/2022 19:11:16,lesson_0703,30.0,100.0
user_001,7/23/2022 19:48:58,lesson_0079,100.0,100.0
user_001,7/25/2022 18:38:55,lesson_0023,100.0,100.0
user_001,7/25/2022 19:01:08,lesson_0915,100.0,100.0
user_001,7/25/2022 19:11:45,lesson_0199,25.0,25.0
user_001,7/26/2022 18:34:55,lesson_0094,100.0,100.0
user_001,7/26/2022 19:31:18,lesson_0885,100.0,100.0
user_001,7/26/2022 19:39:16,lesson_0264,100.0,100.0
user_001,7/28/2022 13:29:25,lesson_0933,100.0,100.0
user_001,7/28/2022 19:05:51,lesson_0818,100.0,100.0
user_001,7/29/2022 21:06:57,lesson_0042,100.0,100.0
user_001,7/29/2022 21:06:57,lesson_0043,100.0,100.0
user_001,7/29/2022 21:34:11,lesson_0260,100.0,100.0
user_001,7/30/2022 19:04:17,lesson_0059,100.0,100.0
user_001,8/2/2022 18:35:26,lesson_0035,100.0,100.0
user_001,8/2/2022 18:47:51,lesson_0889,100.0,100.0
user_001,8/2/2022 18:54:59,lesson_0215,100.0,100.0
user_001,8/3/2022 18:44:28,lesson_0050,100.0,100.0
user_001,8/3/2022 18:55:05,lesson_0229,100.0,100.0
user_001,8/5/2022 19:58:24,lesson_0019,25.0,25.0
